Sampling_date,Waterbody,AMP_ID,Common_Name,Species_Name,Length_cm,Sampling_Notes,DNA_concentration_ng/?l,Extracted_by,Extraction_date_YYMMDD,Extraction_notes,DNA_concentration_2nd_nanodrop,DNA_concentration_2nd_extraction_ng/?l ,Extracted_by,Extraction_date_DDMMYY,DNA_concentration_3rd_extraction_ng/ul ,Extracted_by,Extraction_date_DDMMYY,Notes,Final_extraction_concentration,Final_extraction_by
23-Jun,Marden_Creek,AMP22_0146,Creek_Chub,Semotilus atromaculatus,6.6,,,Teaghan,2022-08-08,,19.57,23.49,Amanda,,,,,,23.49,Amanda
23-Jun,Marden_Creek,AMP22_0147,Creek_Chub,Semotilus atromaculatus,6.1,,,Teaghan,2022-08-08,,19.66,10.5,Amanda,2022-11-08,110.5,Amy,2022-12-07,,110.5,Amy
23-Jun,Marden_Creek,AMP22_0148,Creek_Chub,Semotilus atromaculatus,5.5,,,Teaghan,2022-08-08,,16.47,10.54,Amanda,2022-11-08,123.3,Amy,2022-12-07,,123.3,Amy
23-Jun,Marden_Creek,AMP22_0149,Common_Shiner,Luxilus cornutus,6.9,,,Teaghan,2022-08-08,,26.7,39.36,Amanda,2022-11-08,,,,,39.36,Amanda
23-Jun,Marden_Creek,AMP22_0150,Common_Shiner,Luxilus cornutus,5.1,,,Teaghan,2022-08-08,,12.8,17.85,Amanda,2022-11-08,74.93,Amy,2022-12-07,,74.93,Amy
23-Jun,Marden_Creek,AMP22_0151,Common_Shiner,Luxilus cornutus,4.7,,,Teaghan,2022-08-08,,10.85,14.22,Amanda,2022-11-08,91.6,Amy,2022-12-07,,91.6,Amy
23-Jun,Marden_Creek,AMP22_0152,Common_Shiner,Luxilus cornutus,5.5,,6.29,Amy,2022-09-09,,,38.9,Amy,2022-11-03,,,,,38.9,Amy
23-Jun,Marden_Creek,AMP22_0153,Common_Shiner,Luxilus cornutus,5,,9.67,Amy,2022-09-09,,,14.85,Amy,2022-11-03,101.7,Amy,2022-12-01,,101.7,Amy
23-Jun,Marden_Creek,AMP22_0154,Common_Shiner,Luxilus cornutus,4.9,,12.61,Amy,2022-09-09,,,28.22,Amy,2022-11-03,170.1,Amy,2022-12-01,,170.1,Amy
29-Jun,Eramosa_River,AMP22_0155,Rosyface_Shiner,Notropis rubellus,7,,71.83,Amy,2022-09-09,,,,,,,,,,71.83,Amy
29-Jun,Eramosa_River,AMP22_0156,Rosyface_Shiner,Notropis rubellus,8.4,,19.96,Amy,2022-09-09,,,,,,,,,,19.96,Amy
29-Jun,Eramosa_River,AMP22_0157,Rosyface_Shiner,Notropis rubellus,6,,31.66,Amy,2022-09-09,contaminated ,,38.9,Amy,2022-11-03,103.5,Amy,2022-12-01,,103.5,Amy
29-Jun,Eramosa_River,AMP22_0158,Rosyface_Shiner,Notropis rubellus,6.1,,6.43,Amy,2022-09-09,,,14.85,Amy,2022-11-03,111.4,Amy,2022-12-01,,111.4,Amy
29-Jun,Eramosa_River,AMP22_0159,Rosyface_Shiner,Notropis rubellus,8.1,,11.15,Amy,2022-09-09,,,28.22,Amy,2022-11-03,59.34,Amy,2022-12-01,,59.34,Amy
29-Jun,Eramosa_River,AMP22_0160,Rosyface_Shiner,Notropis rubellus,6.3,,13.8,Amy,2022-09-09,,,,,,98.98,Amy,2022-12-01,,98.98,Amy
29-Jun,Eramosa_River,AMP22_0161,Rosyface_Shiner,Notropis rubellus,6.9,,18.98,Amy,2022-09-09,,,,,,,,,,18.98,Amy
29-Jun,Eramosa_River,AMP22_0162,Rosyface_Shiner,Notropis rubellus,6.2,,77.52,Amanda,2022-09-15,,,,,,,,,,77.52,Amanda
29-Jun,Eramosa_River,AMP22_0163,Rosyface_Shiner,Notropis rubellus,8.6,,29.82,Amanda,2022-09-15,,,,,,,,,,29.82,Amanda
29-Jun,Eramosa_River,AMP22_0164,Rosyface_Shiner,Notropis rubellus,6.7,,63.34,Amanda,2022-09-15,,,,,,,,,,63.34,Amanda
29-Jun,Eramosa_River,AMP22_0165,Rosyface_Shiner,Notropis rubellus,7.9,,83.95,Amanda,2022-09-15,,,,,,,,,,83.95,Amanda
29-Jun,Eramosa_River,AMP22_0166,Rosyface_Shiner,Notropis rubellus,6.7,,42.65,Amanda,2022-09-15,,,,,,,,,,42.65,Amanda
29-Jun,Eramosa_River,AMP22_0167,Rosyface_Shiner,Notropis rubellus,6.5,Female (eggs),22.17,Amanda,2022-09-15,,,,,,,,,,22.17,Amanda
29-Jun,Eramosa_River,AMP22_0168,Rosyface_Shiner,Notropis rubellus,7,,25.55,Amanda,2022-09-15,,,,,,,,,,25.55,Amanda
29-Jun,Eramosa_River,AMP22_0169,Rosyface_Shiner,Notropis rubellus,6.7,,24.17,Amanda,2022-09-15,,,,,,,,,,24.17,Amanda
29-Jun,Eramosa_River,AMP22_0170,Rosyface_Shiner,Notropis rubellus,7,,28.77,Amanda,2022-09-15,,,,,,,,,,28.77,Amanda
29-Jun,Eramosa_River,AMP22_0171,Rosyface_Shiner,Notropis rubellus,8.5,,29.61,Amanda,2022-09-15,,,,,,,,,,29.61,Amanda
29-Jun,Eramosa_River,AMP22_0172,Rosyface_Shiner,Notropis rubellus,7,,101.4,Amanda,2022-09-15,,,,,,,,,,101.4,Amanda
29-Jun,Eramosa_River,AMP22_0173,Rosyface_Shiner,Notropis rubellus,8.7,,78.2,Amanda,2022-09-15,,,,,,,,,,78.2,Amanda
29-Jun,Eramosa_River,AMP22_0174,Rosyface_Shiner,Notropis rubellus,6.7,,96.43,Amanda,2022-09-15,,,,,,,,,,96.43,Amanda
29-Jun,Eramosa_River,AMP22_0175,Rosyface_Shiner,Notropis rubellus,8.6,,60.03,Amanda,2022-09-15,,,,,,,,,,60.03,Amanda
29-Jun,Eramosa_River,AMP22_0176,Rosyface_Shiner,Notropis rubellus,8.3,,103.7,Amanda,2022-09-15,,,,,,,,,,103.7,Amanda
29-Jun,Eramosa_River,AMP22_0177,Rosyface_Shiner,Notropis rubellus,8.3,,52.69,Amanda,2022-09-15,,,,,,,,,,52.69,Amanda
29-Jun,Eramosa_River,AMP22_0178,Rosyface_Shiner,Notropis rubellus,6.9,,17.21,Amanda,2022-09-15,"leaving, in Plate 1",,,,,,,,,17.21,Amanda
29-Jun,Eramosa_River,AMP22_0179,Rosyface_Shiner,Notropis rubellus,7.3,,94.26,Amanda,2022-09-15,,,,,,,,,,94.26,Amanda
29-Jun,Eramosa_River,AMP22_0180,Rosyface_Shiner,Notropis rubellus,6.7,,40.9,Amanda,2022-09-15,,,,,,,,,,40.9,Amanda
29-Jun,Eramosa_River,AMP22_0181,Rosyface_Shiner,Notropis rubellus,6.7,,148.2,Amanda,2022-09-15,,,,,,,,,,148.2,Amanda
29-Jun,Eramosa_River,AMP22_0182,Rosyface_Shiner,Notropis rubellus,8.3,,102.4,Amanda,2022-09-15,,,,,,,,,,102.4,Amanda
29-Jun,Eramosa_River,AMP22_0183,Rosyface_Shiner,Notropis rubellus,6.4,,63.07,Amanda,2022-09-15,,,,,,,,,,63.07,Amanda
29-Jun,Eramosa_River,AMP22_0184,Rosyface_Shiner,Notropis rubellus,6.8,,29.77,Amanda,2022-09-15,,,,,,,,,,29.77,Amanda
29-Jun,Eramosa_River,AMP22_0185,River_Chub,Nocomis micropogon,7.7,,78.88,Amanda,2022-09-15,,,,,,,,,,78.88,Amanda
29-Jun,Eramosa_River,AMP22_0186,River_Chub,Nocomis micropogon,7.5,,74.09,Amanda,2022-09-15,,,,,,,,,,74.09,Amanda
29-Jun,Eramosa_River,AMP22_0187,River_Chub,Nocomis micropogon,10.6,Probable male (spawning colours),130.3,Amanda,2022-09-15,,,,,,,,,,130.3,Amanda
29-Jun,Eramosa_River,AMP22_0188,River_Chub,Nocomis micropogon,8.6,,62.31,Amanda,2022-09-15,,,,,,,,,,62.31,Amanda
29-Jun,Eramosa_River,AMP22_0189,River_Chub,Nocomis micropogon,9.1,,100.2,Amanda,2022-09-15,,,,,,,,,,100.2,Amanda
29-Jun,Eramosa_River,AMP22_0190,River_Chub,Nocomis micropogon,6.7,,50.69,Amanda,2022-09-15,,,,,,,,,,50.69,Amanda
29-Jun,Eramosa_River,AMP22_0191,River_Chub,Nocomis micropogon,8.4,,62.04,Amanda,2022-09-15,,,,,,,,,,62.04,Amanda
29-Jun,Eramosa_River,AMP22_0192,River_Chub,Nocomis micropogon,7.4,,52.28,Amanda,2022-09-15,,,,,,,,,,52.28,Amanda
29-Jun,Eramosa_River,AMP22_0193,River_Chub,Nocomis micropogon,10.8,,67.73,Amanda,2022-09-15,,,,,,,,,,67.73,Amanda
29-Jun,Eramosa_River,AMP22_0194,River_Chub,Nocomis micropogon,11.8,,82.32,Amanda,2022-09-15,,,,,,,,,,82.32,Amanda
29-Jun,Eramosa_River,AMP22_0195,River_Chub,Nocomis micropogon,13.4,In bag,62.61,Amanda,2022-09-15,,,,,,,,,,62.61,Amanda
29-Jun,Eramosa_River,AMP22_0196,Creek_Chub,Semotilus atromaculatus,8.8,,69.95,Amanda,2022-09-15,,,,,,,,,,69.95,Amanda
29-Jun,Eramosa_River,AMP22_0197,Creek_Chub,Semotilus atromaculatus,9.7,,73.22,Amanda,2022-09-15,,,,,,,,,,73.22,Amanda
29-Jun,Eramosa_River,AMP22_0198,Common_Shiner,Luxilus cornutus,6.8,Potenial juvenile ,19.18,Amanda,2022-09-15,,,,,,,,,,19.18,Amanda
29-Jun,Eramosa_River,AMP22_0199,Common_Shiner,Luxilus cornutus,9.2,,43.11,Amanda,2022-09-15,,,,,,,,,,43.11,Amanda
29-Jun,Eramosa_River,AMP22_0200,Common_Shiner,Luxilus cornutus,9.9,,81.14,Amanda,2022-09-15,,,,,,,,,,81.14,Amanda
29-Jun,Eramosa_River,AMP22_0201,Common_Shiner,Luxilus cornutus,6.9,,21.42,Amanda,2022-09-15,,,,,,,,,,21.42,Amanda
29-Jun,Eramosa_River,AMP22_0202,Common_Shiner,Luxilus cornutus,9.7,,74.6,Amanda,2022-09-15,,,,,,,,,,74.6,Amanda
29-Jun,Eramosa_River,AMP22_0203,Common_Shiner,Luxilus cornutus,8.9,,88.45,Amanda,2022-09-15,,,,,,,,,,88.45,Amanda
29-Jun,Eramosa_River,AMP22_0204,Common_Shiner,Luxilus cornutus,8.9,,54.12,Amanda,2022-09-15,,,,,,,,,,54.12,Amanda
29-Jun,Eramosa_River,AMP22_0205,Common_Shiner,Luxilus cornutus,9,,87.4,Amanda,2022-09-15,,,,,,,,,,87.4,Amanda
29-Jun,Eramosa_River,AMP22_0206,Common_Shiner,Luxilus cornutus,9.5,,67.38,Amanda,2022-09-15,,,,,,,,,,67.38,Amanda
29-Jun,Eramosa_River,AMP22_0207,Common_Shiner,Luxilus cornutus,10.2,,23.26,Amanda,2022-09-15,,,,,,,,,,23.26,Amanda
29-Jun,Eramosa_River,AMP22_0208,Common_Shiner,Luxilus cornutus,8.2,,29.15,Amanda,2022-09-15,,,,,,,,,,29.15,Amanda
29-Jun,Eramosa_River,AMP22_0209,Common_Shiner,Luxilus cornutus,14.5,Chunkaay (in bag),118.5,Amanda,2022-09-15,,,,,,,,,,118.5,Amanda
29-Jun,Eramosa_River,AMP22_0210,Common_Shiner,Luxilus cornutus,10.7,,67.22,Amanda,2022-09-15,,,,,,,,,,67.22,Amanda
29-Jun,Eramosa_River,AMP22_0211,Common_Shiner,Luxilus cornutus,7.8,,59.99,Amanda,2022-09-15,,,,,,,,,,59.99,Amanda
29-Jun,Eramosa_River,AMP22_0212,Common_Shiner,Luxilus cornutus,8.2,,29.87,Amanda,2022-09-15,,,,,,,,,,29.87,Amanda
29-Jun,Eramosa_River,AMP22_0213,Common_Shiner,Luxilus cornutus,9.6,,47.33,Amanda,2022-09-15,,,,,,,,,,47.33,Amanda
29-Jun,Eramosa_River,AMP22_0214,Common_Shiner,Luxilus cornutus,9.4,,50.21,Amanda,2022-09-15,,,,,,,,,,50.21,Amanda
29-Jun,Eramosa_River,AMP22_0215,Common_Shiner,Luxilus cornutus,9.9,,51.28,Amanda,2022-09-15,,,,,,,,,,51.28,Amanda
29-Jun,Eramosa_River,AMP22_0216,Common_Shiner,Luxilus cornutus,9.7,,55.71,Amanda,2022-09-15,,,,,,,,,,55.71,Amanda
29-Jun,Eramosa_River,AMP22_0217,Common_Shiner,Luxilus cornutus,9.5,,58.74,Amanda,2022-09-15,,,,,,,,,,58.74,Amanda
29-Jun,Eramosa_River,AMP22_0218,Common_Shiner,Luxilus cornutus,9.6,,64.84,Amanda,2022-09-15,,,,,,,,,,64.84,Amanda
29-Jun,Eramosa_River,AMP22_0219,Common_Shiner,Luxilus cornutus,9.4,,57.93,Amanda,2022-09-15,,,,,,,,,,57.93,Amanda
29-Jun,Eramosa_River,AMP22_0220,Common_Shiner,Luxilus cornutus,9.9,,45.76,Amanda,2022-09-15,,,,,,,,,,45.76,Amanda
29-Jun,Eramosa_River,AMP22_0221,Common_Shiner,Luxilus cornutus,9.5,,43.75,Amanda,2022-09-15,,,,,,,,,,43.75,Amanda
29-Jun,Eramosa_River,AMP22_0222,Common_Shiner,Luxilus cornutus,10,,72.4,Amanda,2022-09-15,,,,,,,,,,72.4,Amanda
29-Jun,Eramosa_River,AMP22_0223,Common_Shiner,Luxilus cornutus,9.3,,47.38,Amanda,2022-09-15,,,,,,,,,,47.38,Amanda
29-Jun,Eramosa_River,AMP22_0224,Common_Shiner,Luxilus cornutus,9.2,,53.35,Amanda,2022-09-15,,,,,,,,,,53.35,Amanda
30-Jun,Eramosa_River,AMP22_0225,Striped_Shiner,Luxilus chrysocephalus,7.4,Misidentified initally as common shiner,38.02,Amanda,2022-09-15,,,,,,,,,,38.02,Amanda
30-Jun,Eramosa_River,AMP22_0226,Common_Shiner,Luxilus cornutus,7.2,,44.89,Amanda,2022-09-15,,,,,,,,,,44.89,Amanda
30-Jun,Eramosa_River,AMP22_0227,Common_Shiner,Luxilus cornutus,9.8,,44.53,Amanda,2022-09-15,,,,,,,,,,44.53,Amanda
30-Jun,Eramosa_River,AMP22_0228,River_Chub,Nocomis micropogon,6.6,,34.88,Amanda,2022-09-15,,,,,,,,,,34.88,Amanda
30-Jun,Eramosa_River,AMP22_0229,Creek_Chub,Semotilus atromaculatus,8.3,,65.78,Amanda,2022-09-15,,,,,,,,,,65.78,Amanda
30-Jun,Eramosa_River,AMP22_0230,Creek_Chub,Semotilus atromaculatus,8.6,,97.66,Amanda,2022-09-15,,,,,,,,,,97.66,Amanda
30-Jun,Eramosa_River,AMP22_0231,River_Chub,Nocomis micropogon,11.9,,209,Amanda,2022-09-15,,,,,,,,,,209,Amanda
30-Jun,Eramosa_River,AMP22_0232,River_Chub,Nocomis micropogon,7.2,,47.73,Amanda,2022-09-15,,,,,,,,,,47.73,Amanda
30-Jun,Eramosa_River,AMP22_0233,River_Chub,Nocomis micropogon,7.1,,39.3,Amanda,2022-09-15,,,,,,,,,,39.3,Amanda
30-Jun,Eramosa_River,AMP22_0234,River_Chub,Nocomis micropogon,9.2,,113.8,Amanda,2022-09-16,,,,,,,,,,113.8,Amanda
30-Jun,Eramosa_River,AMP22_0235,River_Chub,Nocomis micropogon,9.7,,347.9,Amanda,2022-09-16,,,,,,,,,,347.9,Amanda
30-Jun,Eramosa_River,AMP22_0236,River_Chub,Nocomis micropogon,8.2,,185.7,Amanda,2022-09-16,,,,,,,,,,185.7,Amanda
30-Jun,Eramosa_River,AMP22_0237,River_Chub,Nocomis micropogon,11.6,,213,Amanda,2022-09-16,,,,,,,,,,213,Amanda
30-Jun,Eramosa_River,AMP22_0238,River_Chub,Nocomis micropogon,9.3,,209.2,Amanda,2022-09-16,,,,,,,,,,209.2,Amanda
30-Jun,Eramosa_River,AMP22_0239,River_Chub,Nocomis micropogon,8.4,,147,Amanda,2022-09-16,,,,,,,,,,147,Amanda
30-Jun,Eramosa_River,AMP22_0240,River_Chub,Nocomis micropogon,10.7,,924.2,Amanda,2022-09-16,"not a mistake (the high concentration), curve looks good",,,,,,,,,924.2,Amanda
08-Jul,Eramosa_River,AMP22_0241,Creek_Chub,Semotilus atromaculatus,8.5,,83.41,Amanda,2022-09-16,,,,,,,,,,83.41,Amanda
08-Jul,Eramosa_River,AMP22_0242,River_Chub,Nocomis micropogon,9.3,,206.6,Amanda,2022-09-16,,,,,,,,,,206.6,Amanda
12-Jul,Carroll_Creek,AMP22_0243,Common_Shiner,Luxilus cornutus,5.8,,45.63,Amanda,2022-09-16,,,,,,,,,,45.63,Amanda
12-Jul,Carroll_Creek,AMP22_0244,Common_Shiner,Luxilus cornutus,5.5,,100.3,Amanda,2022-09-16,,,,,,,,,,100.3,Amanda
12-Jul,Carroll_Creek,AMP22_0245,Common_Shiner,Luxilus cornutus,5.7,,100.2,Amanda,2022-09-16,,,,,,,,,,100.2,Amanda
12-Jul,Carroll_Creek,AMP22_0246,Common_Shiner,Luxilus cornutus,4.7,,220.8,Amanda,2022-09-16,,,,,,,,,,220.8,Amanda
12-Jul,Carroll_Creek,AMP22_0247,Common_Shiner,Luxilus cornutus,6.2,,166.9,Amanda,2022-09-16,,,,,,,,,,166.9,Amanda
12-Jul,Carroll_Creek,AMP22_0248,Common_Shiner,Luxilus cornutus,6.3,,110,Amanda,2022-09-16,,,,,,,,,,110,Amanda
12-Jul,Carroll_Creek,AMP22_0249,Common_Shiner,Luxilus cornutus,5.8,,100.4,Amanda,2022-09-16,,,,,,,,,,100.4,Amanda
12-Jul,Carroll_Creek,AMP22_0250,Common_Shiner,Luxilus cornutus,5.7,,23.41,Amanda,2022-09-16,,,,,,,,,,23.41,Amanda
12-Jul,Carroll_Creek,AMP22_0251,Common_Shiner,Luxilus cornutus,5.3,,112.8,Amanda,2022-09-16,,,,,,,,,,112.8,Amanda
12-Jul,Carroll_Creek,AMP22_0252,Common_Shiner,Luxilus cornutus,5.5,,74.41,Amanda,2022-09-16,,,,,,,,,,74.41,Amanda
12-Jul,Carroll_Creek,AMP22_0253,Common_Shiner,Luxilus cornutus,6.2,,100,Amanda,2022-09-16,,,,,,,,,,100,Amanda
12-Jul,Carroll_Creek,AMP22_0254,Common_Shiner,Luxilus cornutus,5.1,,84.95,Amanda,2022-09-16,,,,,,,,,,84.95,Amanda
12-Jul,Carroll_Creek,AMP22_0255,Common_Shiner,Luxilus cornutus,5.6,,125.4,Amanda,2022-09-16,,,,,,,,,,125.4,Amanda
12-Jul,Carroll_Creek,AMP22_0256,Common_Shiner,Luxilus cornutus,6.1,,64.17,Amanda,2022-09-16,,,,,,,,,,64.17,Amanda
12-Jul,Carroll_Creek,AMP22_0257,Common_Shiner,Luxilus cornutus,5.6,,154.1,Amanda,2022-09-16,,,,,,,,,,154.1,Amanda
12-Jul,Carroll_Creek,AMP22_0258,Common_Shiner,Luxilus cornutus,6.3,,29.37,Amy,2022-09-19,,20.54,,,,,,,,20.54,Amy
12-Jul,Carroll_Creek,AMP22_0259,Common_Shiner,Luxilus cornutus,6,,16.82,Amy,2022-09-19,,11.48,17.29,Amy,2022-11-03,216,Amy,2022-12-01,,216,Amy
12-Jul,Carroll_Creek,AMP22_0260,Common_Shiner,Luxilus cornutus,6.5,,44.19,Amy,2022-09-19,,25.89,21.56,Amy,2022-11-03,,,,,21.56,Amy
12-Jul,Carroll_Creek,AMP22_0261,Common_Shiner,Luxilus cornutus,7.4,,17.83,Amy,2022-09-19,,15.07,22.57,Amy,2022-11-03,60.21,Amy,2022-12-01,,60.21,Amy
12-Jul,Carroll_Creek,AMP22_0262,Common_Shiner,Luxilus cornutus,6,,15.54,Amy,2022-09-19,,10.51,25.54,Amy,2022-11-03,94.41,Amy,2022-12-01,,94.41,Amy
12-Jul,Carroll_Creek,AMP22_0263,Common_Shiner,Luxilus cornutus,5.8,,12.59,Amy,2022-09-19,,11.09,13.65,Amy,2022-11-03,127.6,Amy,2022-12-01,,127.6,Amy
12-Jul,Carroll_Creek,AMP22_0264,Common_Shiner,Luxilus cornutus,5.8,,10.1,Amy,2022-09-19,,8.727,19.12,Amy,2022-11-03,,,,,19.12,Amy
12-Jul,Carroll_Creek,AMP22_0265,Common_Shiner,Luxilus cornutus,5.4,,14.36,Amy,2022-09-19,,12.94,9.734,Amy,2022-11-03,118.9,Amy,2022-12-01,,118.9,Amy
12-Jul,Carroll_Creek,AMP22_0266,Common_Shiner,Luxilus cornutus,7.3,,7.97,Amy,2022-09-19,,8.105,12.26,Amy,2022-11-03,111.7,Amy,2022-12-01,,111.7,Amy
12-Jul,Carroll_Creek,AMP22_0267,Common_Shiner,Luxilus cornutus,6.4,,18.12,Amy,2022-09-19,,20.22,,,,,,,,20.22,Amy
12-Jul,Carroll_Creek,AMP22_0268,Common_Shiner,Luxilus cornutus,6.5,,14.55,Amy,2022-09-19,,14.78,17,Amy,2022-11-03,,,,,17,Amy
12-Jul,Carroll_Creek,AMP22_0269,Common_Shiner,Luxilus cornutus,6.9,,18.46,Amy,2022-09-19,,17.28,,,,,,,,17.28,Amy
12-Jul,Carroll_Creek,AMP22_0270,Common_Shiner,Luxilus cornutus,5,,6.41,Amy,2022-09-19,,6.234,35.92,Amy,2022-11-03,,,,,35.92,Amy
12-Jul,Carroll_Creek,AMP22_0271,Common_Shiner,Luxilus cornutus,6.9,,35.34,Amy,2022-09-19,,30.33,,,,,,,,30.33,Amy
12-Jul,Carroll_Creek,AMP22_0272,Common_Shiner,Luxilus cornutus,9.2,,39.86,Amy,2022-09-19,,37.94,,,,,,,,37.94,Amy
12-Jul,Carroll_Creek,AMP22_0273,Hornyhead_Chub,Nocomis biguttatus,4.3,,28.08,Amy,2022-09-19,,20.72,,,,,,,,20.72,Amy
12-Jul,Carroll_Creek,AMP22_0274,Creek_Chub,Semotilus atromaculatus,7,,22.43,Amy,2022-09-19,,23.78,,,,,,,,23.78,Amy
12-Jul,Carroll_Creek,AMP22_0275,Creek_Chub,Semotilus atromaculatus,6.7,,24.68,Amy,2022-09-19,,25.97,,,,,,,,25.97,Amy
12-Jul,Carroll_Creek,AMP22_0276,Creek_Chub,Semotilus atromaculatus,7.5,,25.23,Amy,2022-09-19,,25.05,,,,,,,,25.05,Amy
12-Jul,Carroll_Creek,AMP22_0277,Hornyhead_Chub,Nocomis biguttatus,4.2,,12.74,Amy,2022-09-19,,13.49,,,,,,,,13.49,Amy
12-Jul,Carroll_Creek,AMP22_0278,Hornyhead_Chub,Nocomis biguttatus,4.7,,7.62,Amy,2022-09-19,,8.668,,,,,,,,8.668,Amy
12-Jul,Carroll_Creek,AMP22_0279,Hornyhead_Chub,Nocomis biguttatus,4.4,,11.31,Amy,2022-09-19,,14.5,,,,,,,,14.5,Amy
12-Jul,Carroll_Creek,AMP22_0280,Hornyhead_Chub,Nocomis biguttatus,5,,15.51,Amy,2022-09-19,,20.47,,,,,,,,20.47,Amy
12-Jul,Carroll_Creek,AMP22_0281,Hornyhead_Chub,Nocomis biguttatus,4.9,,12.32,Amy,2022-09-19,,13.72,,,,,,,,13.72,Amy
12-Jul,Carroll_Creek,AMP22_0282,Hornyhead_Chub,Nocomis biguttatus,4.7,,4,Amy,2022-09-19,,10.22,,,,,,,,10.22,Amy
12-Jul,Carroll_Creek,AMP22_0283,Hornyhead_Chub,Nocomis biguttatus,4.7,,6.8,Amy,2022-09-19,,10.58,34.92,Amy,2022-11-03,,,,,34.92,Amy
12-Jul,Carroll_Creek,AMP22_0284,Hornyhead_Chub,Nocomis biguttatus,4.3,,20.06,Amy,2022-09-19,,14.79,67.82,Amy,2022-11-03,,,,,67.82,Amy
12-Jul,Carroll_Creek,AMP22_0285,Hornyhead_Chub,Nocomis biguttatus,3.8,,9.8,Amy,2022-09-19,,15.34,26.88,Amy,2022-11-03,,,,,26.88,Amy
12-Jul,Carroll_Creek,AMP22_0286,Hornyhead_Chub,Nocomis biguttatus,4.6,,21.7,Amy,2022-09-19,,25.08,72.24,Amy,2022-11-03,,,,,72.24,Amy
12-Jul,Carroll_Creek,AMP22_0287,Hornyhead_Chub,Nocomis biguttatus,8.2,,26.45,Amy,2022-09-19,,30.52,,,,,,,,30.52,Amy
12-Jul,Carroll_Creek,AMP22_0288,Western_Blacknose_Dace,Rhinichthys obtusus,2.8,Juvenile,18.8,Amy,2022-09-19,,19.84,,,,,,,,19.84,Amy
12-Jul,Carroll_Creek,AMP22_0289,Western_Blacknose_Dace,Rhinichthys obtusus,2.7,Juvenile,27.77,Amy,2022-09-19,,35.61,,,,,,,,35.61,Amy
12-Jul,Carroll_Creek,AMP22_0290,Western_Blacknose_Dace,Rhinichthys obtusus,2.6,Juvenile,10.66,Amy,2022-09-19,,15.99,44.98,Amy,2022-11-03,,,,,44.98,Amy
12-Jul,Carroll_Creek,AMP22_0291,Western_Blacknose_Dace,Rhinichthys obtusus,4.7,,58.79,Amy,2022-09-19,contaminated,15.4,34.88,Amy,2022-11-03,,,,,34.88,Amy
12-Jul,Carroll_Creek,AMP22_0292,Western_Blacknose_Dace,Rhinichthys obtusus,2.8,Juvenile,23.17,Amy,2022-09-19,,23.76,71.3,Amy,2022-11-03,,,,,71.3,Amy
12-Jul,Carroll_Creek,AMP22_0293,Central_Stoneroller,Campostoma anomalum,8.9,,62.83,Amy,2022-09-19,,79.67,,,,,,,,79.67,Amy
12-Jul,Carroll_Creek,AMP22_0294,Central_Stoneroller,Campostoma anomalum,3.7,Juvenile,17.56,Amy,2022-09-19,,22.68,,,,,,,,22.68,Amy
12-Jul,Carroll_Creek,AMP22_0295,Central_Stoneroller,Campostoma anomalum,3.6,Juvenile,31.09,Amy,2022-09-19,,29.36,,,,,,,,29.36,Amy
12-Jul,Carroll_Creek,AMP22_0296,Western_Blacknose_Dace,Rhinichthys obtusus,7.5,Probable male (spawning colours),75.36,Amy,2022-09-19,,79.22,,,,,,,,79.22,Amy
12-Jul,Carroll_Creek,AMP22_0297,Central_Stoneroller,Campostoma anomalum,9,,36.02,Amy,2022-09-19,,37.32,,,,,,,,37.32,Amy
12-Jul,Carroll_Creek,AMP22_0298,Western_Blacknose_Dace,Rhinichthys obtusus,6.7,,26.78,Amy,2022-09-19,,28.11,100.5,Amy,2022-11-03,,,,,100.5,Amy
12-Jul,Carroll_Creek,AMP22_0299,Central_Stoneroller,Campostoma anomalum,3.3,,15.41,Amy,2022-09-19,,18.24,45.69,Amy,2022-11-03,,,,,45.69,Amy
12-Jul,Carroll_Creek,AMP22_0300,Central_Stoneroller,Campostoma anomalum,5.7,,42.4,Amy,2022-09-19,,35.38,,,,,,,,35.38,Amy
12-Jul,Carroll_Creek,AMP22_0301,Western_Blacknose_Dace,Rhinichthys obtusus,4.9,,48.66,Amy,2022-09-19,,50.82,,,,,,,,50.82,Amy
12-Jul,Carroll_Creek,AMP22_0302,Western_Blacknose_Dace,Rhinichthys obtusus,5.8,,23.81,Amy,2022-09-19,,24.21,,,,,,,,24.21,Amy
12-Jul,Carroll_Creek,AMP22_0303,Central_Stoneroller,Campostoma anomalum,9.1,,36.97,Amy,2022-09-19,,43.55,,,,,,,,43.55,Amy
12-Jul,Carroll_Creek,AMP22_0304,Western_Blacknose_Dace,Rhinichthys obtusus,7.9,Probable male (spawning colours),70.11,Amy,2022-09-19,,85.3,,,,,,,,85.3,Amy
12-Jul,Carroll_Creek,AMP22_0305,Western_Blacknose_Dace,Rhinichthys obtusus,2.8,Juvenile,24.18,Amy,2022-09-19,,27.37,,,,,,,,27.37,Amy
12-Jul,Carroll_Creek,AMP22_0306,Western_Blacknose_Dace,Rhinichthys obtusus,3,Juvenile,27.28,Amy,2022-09-19,,19.23,78.88,Amy,2022-11-03,,,,,78.88,Amy
12-Jul,Carroll_Creek,AMP22_0307,Central_Stoneroller,Campostoma anomalum,6.8,,87.32,Amy,2022-09-19,,100.4,,,,,,,,100.4,Amy
